Age,Gender,Department,JobRole,MaritalStatus,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,JobInvolvement,EnvironmentSatisfaction,OverTime,BusinessTravel,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,StockOptionLevel,PerformanceRating,Education,Attrition
24,Male,Sales,Human Resources,Married,17128,4,4,2,1,4,No,Non-Travel,17,6,5,1,3,2,No
38,Female,Human Resources,Research Scientist,Married,2627,5,2,1,1,3,No,Travel_Rarely,12,5,2,0,3,3,Yes
26,Male,Research & Development,Human Resources,Single,8947,4,2,2,2,2,No,Travel_Rarely,6,4,5,2,3,4,No
56,Male,Human Resources,Laboratory Technician,Single,6251,6,3,1,4,4,No,Travel_Rarely,18,4,4,3,3,3,No
35,Female,Sales,Research Scientist,Married,17143,9,1,4,1,2,No,Non-Travel,8,8,0,3,3,2,No
21,Female,Research & Development,Manufacturing Director,Divorced,15435,3,2,4,2,2,No,Travel_Rarely,21,0,4,1,3,3,No
42,Female,Research & Development,Healthcare Representative,Married,7759,8,3,2,3,4,No,Travel_Rarely,15,7,5,2,3,1,Yes
31,Female,Research & Development,Research Scientist,Single,1926,5,3,1,3,1,No,Travel_Rarely,3,1,6,3,3,4,No
26,Female,Research & Development,Sales Executive,Divorced,10595,1,3,3,4,3,No,Travel_Rarely,2,6,0,3,4,1,No
43,Male,Human Resources,Healthcare Representative,Married,13441,3,2,4,3,2,No,Travel_Rarely,24,5,3,3,4,4,Yes
19,Female,Research & Development,Human Resources,Divorced,8996,5,2,1,3,3,No,Travel_Frequently,23,9,6,3,3,4,No
37,Female,Research & Development,Healthcare Representative,Married,13359,4,1,1,2,2,Yes,Travel_Frequently,9,1,0,3,3,3,Yes
45,Female,Research & Development,Human Resources,Married,5168,6,1,1,3,4,No,Travel_Frequently,8,2,2,1,3,1,No
24,Female,Research & Development,Manager,Divorced,5597,5,3,2,3,1,No,Travel_Frequently,27,3,5,3,3,4,No
25,Male,Research & Development,Laboratory Technician,Single,16914,5,3,3,3,3,No,Travel_Rarely,4,6,4,1,3,4,No
52,Female,Sales,Manufacturing Director,Divorced,15518,4,2,2,3,2,No,Travel_Frequently,2,7,4,0,4,3,No
31,Male,Research & Development,Manufacturing Director,Married,3592,9,2,4,2,4,Yes,Travel_Rarely,14,1,4,0,3,2,No
34,Female,Research & Development,Sales Executive,Divorced,12853,6,1,2,3,4,Yes,Travel_Rarely,29,7,1,2,3,2,No
53,Male,Research & Development,Laboratory Technician,Married,5276,7,1,1,4,2,No,Travel_Rarely,2,8,1,1,3,5,No
57,Male,Sales,Laboratory Technician,Single,5217,3,4,2,1,2,No,Travel_Rarely,2,6,2,2,4,5,No
21,Male,Research & Development,Sales Executive,Married,3445,2,1,1,4,2,No,Travel_Rarely,27,0,3,0,4,4,Yes
19,Male,Research & Development,Human Resources,Divorced,16555,3,2,3,1,1,No,Travel_Rarely,28,5,1,0,3,2,No
23,Male,Research & Development,Sales Executive,Married,4872,2,3,2,4,2,No,Travel_Rarely,22,7,0,0,3,4,No
59,Male,Research & Development,Human Resources,Married,3654,7,4,2,1,2,No,Travel_Frequently,7,4,6,0,3,1,No
21,Male,Sales,Sales Executive,Married,6462,2,1,2,1,1,No,Travel_Rarely,12,1,5,3,3,2,No
46,Male,Research & Development,Research Scientist,Married,8314,5,1,1,1,4,No,Travel_Rarely,6,4,2,0,3,2,Yes
35,Male,Research & Development,Research Scientist,Single,4508,5,2,1,1,2,No,Travel_Frequently,18,7,6,3,3,2,Yes
43,Male,Sales,Manager,Married,13494,7,4,2,2,3,Yes,Travel_Rarely,4,1,3,3,3,5,No
51,Female,Research & Development,Sales Representative,Divorced,11324,5,1,2,4,4,No,Travel_Frequently,19,0,6,2,3,3,No
27,Male,Research & Development,Sales Executive,Single,8256,6,3,3,1,3,No,Travel_Rarely,27,3,0,3,3,3,No
53,Male,Human Resources,Laboratory Technician,Divorced,6012,7,2,3,4,2,No,Non-Travel,13,3,4,2,3,5,No
31,Male,Sales,Research Scientist,Married,15024,3,4,4,3,1,No,Travel_Rarely,20,8,1,3,3,5,No
48,Male,Sales,Research Director,Married,9770,6,1,3,1,1,No,Travel_Rarely,21,2,0,3,3,5,No
32,Female,Research & Development,Human Resources,Married,18720,8,1,3,4,1,Yes,Travel_Rarely,23,3,3,0,3,3,No
25,Male,Research & Development,Research Scientist,Single,3425,3,4,3,2,2,No,Travel_Rarely,25,2,2,1,3,4,No
31,Male,Sales,Research Scientist,Married,12114,6,2,1,4,2,Yes,Non-Travel,27,1,6,3,4,5,No
40,Male,Research & Development,Human Resources,Married,9773,5,4,3,1,3,No,Travel_Rarely,2,3,0,1,3,4,No
57,Female,Research & Development,Manufacturing Director,Single,10377,3,4,3,3,1,No,Travel_Rarely,8,7,2,1,3,4,No
38,Female,Research & Development,Healthcare Representative,Married,9870,4,2,2,4,2,No,Travel_Rarely,19,0,4,1,3,1,No
33,Male,Research & Development,Human Resources,Single,10466,6,1,1,3,4,Yes,Travel_Frequently,9,7,3,3,3,3,Yes
35,Male,Research & Development,Manager,Married,5400,6,3,4,2,2,Yes,Travel_Rarely,26,7,3,1,4,4,Yes
41,Male,Sales,Human Resources,Married,8583,7,2,4,4,2,Yes,Non-Travel,28,2,6,3,3,3,Yes
43,Female,Sales,Human Resources,Married,15026,6,3,3,4,4,Yes,Travel_Rarely,4,9,1,0,3,3,No
42,Male,Sales,Sales Representative,Single,10946,5,1,4,2,1,No,Travel_Rarely,16,9,5,3,4,1,No
58,Male,Research & Development,Human Resources,Divorced,6771,2,4,4,2,4,No,Travel_Rarely,19,5,3,2,3,3,No
46,Male,Research & Development,Healthcare Representative,Single,15290,5,3,4,2,1,No,Travel_Frequently,10,3,0,0,3,4,No
32,Male,Research & Development,Healthcare Representative,Married,19389,9,1,3,1,4,Yes,Travel_Frequently,6,0,0,1,3,2,No
18,Male,Sales,Research Director,Married,14751,3,1,4,1,3,No,Travel_Rarely,16,0,0,1,3,4,No
42,Male,Sales,Manufacturing Director,Married,14112,9,4,3,4,1,No,Travel_Rarely,10,4,4,2,3,4,No
24,Male,Research & Development,Human Resources,Single,3790,2,4,2,4,2,Yes,Travel_Frequently,13,7,3,0,3,3,Yes
26,Male,Sales,Sales Representative,Married,7099,1,1,2,4,3,No,Travel_Rarely,9,0,3,2,3,4,No
41,Male,Research & Development,Sales Representative,Married,14797,4,1,4,3,1,Yes,Travel_Rarely,7,1,0,1,3,2,Yes
18,Male,Sales,Laboratory Technician,Married,15272,3,3,2,2,1,Yes,Travel_Rarely,4,6,6,3,3,3,No
25,Female,Sales,Manufacturing Director,Married,6180,4,1,3,4,1,No,Travel_Rarely,19,7,1,1,4,5,No
41,Female,Sales,Sales Representative,Married,6557,5,1,2,2,4,No,Travel_Rarely,26,2,6,2,4,4,Yes
28,Female,Research & Development,Healthcare Representative,Married,12195,1,3,4,1,1,No,Travel_Rarely,4,7,1,3,3,4,No
34,Female,Research & Development,Laboratory Technician,Divorced,18041,3,2,3,2,2,No,Travel_Rarely,19,0,3,3,3,1,No
25,Male,Human Resources,Sales Executive,Single,7388,5,3,1,3,1,No,Travel_Frequently,28,8,6,1,3,5,No
52,Male,Research & Development,Sales Representative,Divorced,19150,3,3,3,3,2,No,Travel_Rarely,19,1,3,3,4,5,No
52,Female,Sales,Manager,Single,6744,12,4,2,2,2,No,Travel_Frequently,12,1,2,0,3,2,No
50,Male,Research & Development,Sales Representative,Married,15195,2,3,1,3,2,No,Travel_Rarely,13,3,3,1,4,5,No
22,Male,Research & Development,Research Scientist,Married,18872,3,1,3,3,3,Yes,Travel_Rarely,25,9,6,1,4,1,Yes
59,Male,Research & Development,Manufacturing Director,Married,6043,4,1,1,1,2,Yes,Travel_Rarely,4,2,0,0,3,2,Yes
56,Male,Research & Development,Research Scientist,Single,11716,9,1,1,4,4,No,Travel_Frequently,25,3,5,1,3,5,No
58,Female,Sales,Research Director,Married,11784,5,2,1,3,1,No,Travel_Rarely,28,5,4,2,3,2,No
45,Male,Sales,Sales Representative,Single,3559,3,1,3,4,4,Yes,Non-Travel,10,6,3,2,3,5,Yes
24,Female,Research & Development,Sales Executive,Married,10981,3,2,2,2,3,No,Travel_Rarely,21,4,3,1,3,5,No
26,Male,Research & Development,Research Scientist,Single,4282,4,1,3,2,1,Yes,Travel_Rarely,7,1,0,0,3,5,No
25,Male,Research & Development,Research Scientist,Married,2751,4,3,2,3,2,No,Non-Travel,5,2,2,3,3,4,No
29,Male,Research & Development,Manufacturing Director,Single,3879,7,4,3,2,1,Yes,Travel_Rarely,17,9,5,0,3,5,No
51,Male,Research & Development,Laboratory Technician,Single,4517,6,1,3,1,3,No,Travel_Rarely,18,2,3,2,4,4,Yes
50,Female,Research & Development,Sales Executive,Single,11492,3,2,3,3,3,No,Non-Travel,11,4,1,1,3,3,No
40,Male,Sales,Research Scientist,Married,9111,6,2,2,3,4,Yes,Travel_Rarely,15,4,1,0,3,1,No
41,Male,Human Resources,Human Resources,Divorced,2568,6,4,3,3,1,No,Travel_Rarely,21,3,1,3,3,2,No
54,Male,Research & Development,Sales Executive,Divorced,7290,4,1,1,2,1,No,Non-Travel,22,7,4,3,3,2,No
52,Male,Research & Development,Human Resources,Single,17334,7,3,3,2,1,Yes,Travel_Rarely,7,5,4,3,3,3,No
57,Male,Research & Development,Sales Representative,Married,8445,4,1,1,3,4,Yes,Travel_Frequently,18,5,5,3,3,5,Yes
39,Female,Research & Development,Research Scientist,Married,7032,7,1,4,4,3,No,Travel_Rarely,26,0,3,0,4,1,No
44,Male,Research & Development,Research Scientist,Married,13285,3,4,4,2,2,No,Travel_Frequently,25,5,3,3,3,3,No
52,Female,Research & Development,Healthcare Representative,Married,7597,4,1,2,2,1,No,Travel_Rarely,6,2,3,2,3,3,No
18,Male,Research & Development,Healthcare Representative,Single,14142,7,3,2,3,4,Yes,Non-Travel,18,5,4,3,3,2,No
52,Male,Research & Development,Manufacturing Director,Married,9838,8,2,4,4,4,No,Travel_Rarely,16,9,5,2,3,4,No
54,Male,Research & Development,Laboratory Technician,Married,17802,2,4,3,3,2,Yes,Travel_Rarely,2,5,3,0,3,4,No
31,Male,Sales,Manufacturing Director,Single,14887,9,3,3,2,3,No,Travel_Rarely,19,1,0,2,3,5,No
20,Female,Research & Development,Manufacturing Director,Married,6673,6,2,3,3,1,No,Travel_Rarely,1,0,2,0,3,5,No
18,Female,Sales,Research Scientist,Married,3281,4,4,4,3,1,No,Travel_Frequently,25,2,6,3,3,3,Yes
22,Female,Research & Development,Healthcare Representative,Single,11893,7,4,1,3,4,No,Travel_Frequently,26,4,1,1,3,5,No
43,Female,Research & Development,Healthcare Representative,Married,16222,2,2,2,4,3,No,Travel_Rarely,11,3,1,2,3,4,No
31,Male,Research & Development,Healthcare Representative,Married,18238,2,2,1,3,1,No,Travel_Frequently,20,6,0,2,3,1,No
56,Female,Sales,Sales Executive,Married,9443,3,3,4,2,2,No,Travel_Rarely,5,3,3,1,3,2,No
44,Female,Research & Development,Manager,Married,17508,5,1,1,3,3,No,Travel_Rarely,16,7,5,0,3,4,No
26,Female,Research & Development,Research Scientist,Married,13071,7,1,3,4,3,No,Travel_Rarely,23,6,5,0,4,5,No
32,Male,Research & Development,Sales Representative,Married,19016,4,1,3,1,4,No,Travel_Rarely,1,9,4,3,3,2,Yes
32,Male,Research & Development,Manufacturing Director,Married,14400,4,1,1,4,4,No,Travel_Rarely,19,8,3,2,3,2,Yes
43,Male,Research & Development,Healthcare Representative,Single,12798,5,1,4,3,1,No,Travel_Frequently,14,0,5,0,4,3,Yes
59,Male,Sales,Healthcare Representative,Married,16095,5,3,1,1,4,No,Travel_Rarely,3,4,3,3,3,5,No
30,Male,Sales,Healthcare Representative,Married,12482,4,4,3,3,3,No,Travel_Rarely,2,3,1,0,4,3,No
49,Female,Research & Development,Research Scientist,Married,18180,5,3,3,4,1,No,Travel_Rarely,24,5,6,1,4,2,No
56,Male,Research & Development,Healthcare Representative,Divorced,10319,6,3,4,1,1,No,Travel_Frequently,5,0,6,1,3,3,No
49,Male,Research & Development,Laboratory Technician,Married,5100,5,3,1,1,3,No,Travel_Rarely,17,5,6,1,3,5,No
21,Male,Research & Development,Manufacturing Director,Single,8522,7,4,3,3,1,No,Travel_Rarely,28,0,1,3,3,4,No
47,Female,Research & Development,Research Scientist,Single,9018,8,3,3,3,2,No,Travel_Rarely,18,0,4,2,3,1,No
54,Male,Sales,Manufacturing Director,Single,4854,4,3,1,4,2,No,Travel_Frequently,1,7,6,1,3,4,Yes
40,Female,Research & Development,Human Resources,Married,15375,5,4,1,3,1,No,Travel_Rarely,15,1,1,1,3,2,No
56,Female,Sales,Research Director,Married,9770,6,3,2,1,4,No,Travel_Frequently,22,9,3,0,3,4,No
32,Female,Research & Development,Laboratory Technician,Divorced,3943,9,1,4,2,2,No,Travel_Rarely,9,5,6,1,3,3,No
60,Male,Sales,Sales Executive,Married,11303,6,2,4,2,1,No,Travel_Frequently,27,5,0,2,3,5,No
46,Male,Sales,Sales Executive,Married,16949,0,3,1,4,2,Yes,Travel_Rarely,23,5,4,3,3,4,Yes
53,Female,Sales,Manager,Married,13975,4,2,4,3,4,Yes,Travel_Rarely,5,7,0,1,3,4,Yes
30,Female,Sales,Laboratory Technician,Divorced,10156,2,3,3,4,3,Yes,Travel_Rarely,28,3,3,3,3,5,No
49,Female,Research & Development,Manufacturing Director,Married,16870,6,3,1,2,1,No,Travel_Rarely,13,2,4,3,4,3,No
24,Male,Sales,Sales Executive,Married,2622,9,1,1,2,1,No,Travel_Rarely,19,5,0,2,3,1,No
39,Male,Human Resources,Research Director,Married,19127,0,4,1,3,1,Yes,Non-Travel,28,3,4,0,3,4,No
45,Male,Research & Development,Sales Executive,Married,16089,3,2,2,1,1,No,Non-Travel,28,1,3,0,4,2,No
19,Female,Research & Development,Healthcare Representative,Married,7950,0,4,4,3,1,No,Travel_Frequently,24,5,5,3,3,3,Yes
59,Female,Research & Development,Manager,Single,6225,8,1,2,2,1,No,Travel_Rarely,10,9,6,1,3,3,Yes
23,Male,Research & Development,Research Scientist,Single,17832,2,1,3,1,4,No,Travel_Rarely,20,4,4,3,3,4,Yes
45,Male,Sales,Sales Representative,Married,3998,4,2,4,4,3,No,Travel_Rarely,25,8,6,0,3,5,No
45,Male,Human Resources,Sales Representative,Married,5252,4,4,2,2,4,Yes,Travel_Rarely,21,5,6,1,4,4,Yes
37,Female,Research & Development,Sales Executive,Single,10906,5,1,1,4,4,No,Non-Travel,14,2,5,0,3,4,No
47,Male,Sales,Manufacturing Director,Single,15659,4,3,2,1,3,Yes,Travel_Rarely,22,4,3,2,4,5,No
28,Male,Research & Development,Manufacturing Director,Married,19492,3,3,1,4,4,No,Non-Travel,21,9,4,0,3,2,Yes
45,Male,Research & Development,Healthcare Representative,Married,10505,2,3,2,2,2,No,Travel_Rarely,26,7,4,1,4,5,Yes
42,Male,Sales,Sales Executive,Single,11912,8,4,2,3,4,Yes,Travel_Frequently,12,8,5,1,4,4,No
56,Female,Human Resources,Sales Executive,Single,6641,4,3,2,4,1,Yes,Travel_Rarely,11,7,1,3,3,1,No
50,Female,Sales,Sales Representative,Single,17158,5,3,1,2,2,No,Non-Travel,23,2,5,1,3,5,No
18,Female,Research & Development,Human Resources,Single,3209,5,1,2,2,2,No,Travel_Rarely,7,8,5,2,3,2,No
44,Female,Human Resources,Sales Executive,Divorced,6366,7,1,4,1,3,No,Travel_Rarely,17,2,5,0,4,5,No
30,Male,Sales,Research Scientist,Single,13182,5,3,4,2,4,Yes,Travel_Frequently,18,7,3,3,3,5,Yes
58,Female,Sales,Manager,Married,19739,8,3,4,3,4,Yes,Travel_Rarely,7,9,2,3,3,3,No
20,Female,Sales,Manager,Married,16396,5,1,1,3,2,No,Travel_Rarely,24,8,5,1,3,3,Yes
56,Female,Sales,Research Scientist,Divorced,2604,4,2,1,4,4,Yes,Travel_Rarely,20,6,4,2,3,4,Yes
23,Male,Sales,Human Resources,Single,15021,6,4,4,4,4,No,Travel_Rarely,6,3,0,3,3,4,No
25,Female,Research & Development,Manufacturing Director,Single,3079,5,4,4,4,3,Yes,Travel_Rarely,11,9,1,2,3,5,No
44,Female,Research & Development,Sales Representative,Single,14992,1,1,4,4,2,No,Travel_Rarely,12,8,5,2,4,1,No
26,Male,Research & Development,Manager,Single,8883,7,4,3,3,1,Yes,Travel_Rarely,26,2,5,0,3,4,No
54,Male,Research & Development,Laboratory Technician,Married,12893,4,1,4,1,2,Yes,Travel_Rarely,16,2,1,0,3,5,Yes
50,Female,Research & Development,Research Director,Single,19571,4,1,2,4,3,No,Travel_Rarely,19,1,5,0,3,5,Yes
59,Female,Research & Development,Sales Representative,Single,14680,4,1,3,1,3,No,Travel_Rarely,23,9,4,2,3,5,No
41,Male,Research & Development,Human Resources,Divorced,17317,6,1,3,2,3,Yes,Non-Travel,27,2,2,0,4,5,Yes
32,Male,Research & Development,Laboratory Technician,Married,3906,6,2,1,2,4,Yes,Travel_Frequently,19,0,5,3,3,5,No
49,Male,Sales,Sales Executive,Single,17886,4,3,2,4,2,Yes,Travel_Rarely,11,3,1,3,3,3,No
49,Male,Human Resources,Research Scientist,Single,6631,5,3,1,2,4,No,Travel_Rarely,16,7,5,1,3,2,Yes
41,Female,Research & Development,Sales Executive,Single,4986,4,2,1,1,4,No,Travel_Rarely,23,4,3,2,4,2,No
58,Male,Research & Development,Healthcare Representative,Divorced,4373,4,4,2,1,2,Yes,Travel_Frequently,28,1,4,0,4,5,No
29,Male,Research & Development,Research Scientist,Divorced,14608,8,4,1,2,3,No,Travel_Rarely,27,2,4,3,3,4,No
56,Female,Research & Development,Laboratory Technician,Divorced,4399,4,3,2,4,1,No,Travel_Rarely,12,0,2,2,3,1,No
19,Male,Sales,Research Director,Divorced,5833,7,4,2,1,1,No,Travel_Rarely,27,1,3,2,3,5,No
20,Female,Research & Development,Healthcare Representative,Married,10228,7,3,1,1,2,No,Travel_Rarely,8,0,3,0,3,1,No
54,Male,Research & Development,Manufacturing Director,Single,3104,9,3,4,3,2,No,Travel_Rarely,3,1,2,2,3,3,No
34,Female,Sales,Healthcare Representative,Married,19485,6,2,1,4,3,Yes,Travel_Rarely,2,2,6,0,4,2,No
19,Female,Human Resources,Manager,Married,10433,5,4,3,3,2,Yes,Travel_Rarely,28,0,6,0,3,3,No
19,Male,Research & Development,Sales Representative,Divorced,13172,10,2,1,2,2,No,Travel_Rarely,6,8,0,0,4,4,No
45,Female,Sales,Human Resources,Married,10796,8,3,2,2,3,No,Travel_Rarely,16,9,6,2,3,4,No
40,Female,Research & Development,Sales Executive,Married,18258,5,3,3,3,3,No,Non-Travel,20,4,5,2,3,5,No
54,Female,Research & Development,Manufacturing Director,Divorced,7275,6,3,2,4,4,No,Travel_Rarely,24,7,3,0,3,4,No
49,Male,Research & Development,Human Resources,Single,8984,1,1,4,1,2,No,Travel_Rarely,29,4,0,2,3,4,Yes
50,Male,Research & Development,Healthcare Representative,Divorced,14675,10,1,4,2,1,No,Travel_Rarely,15,7,0,0,3,3,No
18,Male,Research & Development,Research Director,Single,3422,10,1,3,4,2,Yes,Travel_Rarely,14,6,4,1,3,1,No
36,Male,Research & Development,Sales Executive,Married,17788,3,2,4,4,1,No,Travel_Rarely,2,3,5,2,3,2,No
19,Male,Sales,Manufacturing Director,Single,9841,6,3,4,2,1,Yes,Travel_Rarely,20,6,4,2,3,4,Yes
43,Male,Sales,Human Resources,Married,18525,8,4,1,2,1,Yes,Travel_Frequently,18,5,1,1,3,4,No
49,Female,Sales,Sales Executive,Married,9792,1,2,1,4,4,No,Travel_Rarely,14,2,6,1,3,3,Yes
23,Male,Sales,Sales Executive,Married,17446,7,2,4,1,3,Yes,Travel_Rarely,18,8,4,1,3,2,Yes
49,Female,Sales,Manufacturing Director,Divorced,18829,6,2,4,3,3,Yes,Travel_Rarely,2,9,3,0,3,3,No
21,Female,Research & Development,Laboratory Technician,Married,6063,5,4,1,2,4,Yes,Travel_Rarely,1,8,3,0,3,1,Yes
28,Male,Research & Development,Sales Representative,Married,15860,5,3,4,3,3,No,Non-Travel,20,4,5,3,3,3,No
34,Male,Sales,Laboratory Technician,Single,16956,8,1,4,4,4,No,Travel_Rarely,2,7,0,1,4,2,No
55,Female,Sales,Sales Executive,Divorced,10446,2,3,2,3,2,Yes,Travel_Rarely,9,6,3,3,3,2,Yes
41,Male,Sales,Research Scientist,Single,13464,5,3,4,1,4,No,Travel_Frequently,9,8,6,0,3,4,No
22,Male,Research & Development,Manufacturing Director,Single,4769,5,2,3,4,3,Yes,Travel_Frequently,16,6,4,2,3,1,No
51,Female,Sales,Sales Executive,Single,4828,3,2,2,1,3,No,Travel_Rarely,11,3,6,1,3,5,Yes
23,Male,Research & Development,Sales Executive,Married,5429,5,2,3,4,2,No,Travel_Rarely,27,3,4,2,3,4,No
39,Female,Research & Development,Research Director,Divorced,4867,4,1,4,1,4,No,Travel_Rarely,23,7,5,0,3,3,Yes
28,Female,Research & Development,Sales Representative,Single,7741,3,1,1,4,2,No,Travel_Rarely,6,5,6,1,3,3,Yes
33,Male,Research & Development,Research Director,Married,19570,8,1,2,1,1,No,Travel_Frequently,12,8,4,3,3,2,No
50,Female,Sales,Manufacturing Director,Divorced,13355,4,3,1,4,4,No,Travel_Rarely,3,9,6,3,3,2,No
26,Male,Sales,Manager,Married,14881,4,2,2,1,2,No,Travel_Rarely,12,6,2,0,4,2,No
23,Female,Sales,Laboratory Technician,Married,8619,2,4,1,4,2,No,Travel_Rarely,23,6,5,2,3,5,Yes
33,Female,Sales,Research Director,Single,12846,5,3,2,1,3,No,Travel_Rarely,1,3,5,0,3,5,No
46,Male,Sales,Manufacturing Director,Married,19517,6,1,2,2,4,No,Travel_Rarely,9,2,3,2,4,4,No
20,Male,Research & Development,Laboratory Technician,Single,4511,4,4,3,3,1,Yes,Non-Travel,20,7,5,0,3,5,Yes
37,Female,Sales,Manufacturing Director,Divorced,6653,4,4,1,4,1,Yes,Travel_Rarely,22,6,1,3,3,2,No
53,Male,Human Resources,Manager,Married,9515,1,2,3,1,4,No,Travel_Rarely,6,3,3,2,4,4,No
36,Female,Sales,Sales Representative,Married,10742,3,4,3,2,4,No,Non-Travel,11,3,3,0,3,4,No
43,Male,Research & Development,Sales Representative,Single,17307,5,1,1,4,2,No,Travel_Rarely,3,0,6,1,3,1,Yes
20,Male,Research & Development,Manufacturing Director,Single,17626,4,2,2,4,3,Yes,Travel_Frequently,4,6,2,3,3,5,Yes
36,Male,Research & Development,Research Director,Single,3562,5,4,3,4,3,Yes,Travel_Rarely,29,0,3,3,3,3,No
37,Female,Research & Development,Sales Representative,Married,17650,7,2,1,3,3,No,Travel_Rarely,27,9,0,1,3,3,No
49,Female,Research & Development,Research Scientist,Single,13912,8,4,2,1,4,No,Travel_Rarely,10,9,4,0,3,1,No
24,Male,Research & Development,Research Director,Married,14452,4,3,3,1,3,Yes,Travel_Frequently,19,3,4,2,3,2,Yes
58,Female,Research & Development,Human Resources,Single,7922,6,3,3,4,2,No,Travel_Rarely,29,2,5,3,3,1,No
50,Female,Sales,Healthcare Representative,Married,2281,2,1,3,4,4,No,Travel_Rarely,6,2,6,0,3,2,No
57,Male,Research & Development,Manufacturing Director,Single,16336,7,3,2,4,4,No,Travel_Frequently,1,0,2,1,4,5,No
56,Male,Sales,Manufacturing Director,Single,1953,3,3,3,2,3,No,Travel_Rarely,8,3,4,2,3,5,No
